Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Score,Recommendation_Helpfulness,Rating_Accuracy,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction,Purchase_Categories_List
2023-06-11 23:08:35+05:30,6,Prefer Not To Say,Less Than Once A Month,Beauty and Personal Care;Clothing and Fashion,Yes,Multiple Times A Day,Not Specified,Multiple Pages,1,Yes,Often,High shipping costs,Always,Yes,Rarely,Sometimes,5,Sometimes,4,5,User-Friendly Website/App Interface,I have no problem with Amazon yet. But others tell me about the refund issues,586526,"['Beauty and Personal Care', 'Clothing and Fashion']"
2023-06-10 23:21:59+05:30,56,Others,Multiple Times A Week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few Times A Week,Filter,Multiple Pages,3,Maybe,Always,Changed my mind or no longer need the item,Sometimes,Yes,Occasionally,No,2,Sometimes,1,4,Not Specified,Shipping speed and reliability,676047,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']"
2023-06-12 15:59:59+05:30,12,Male,Once A Week,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Rarely,Categories,Multiple Pages,3,Maybe,Often,High shipping costs,Never,Yes,Occasionally,Yes,5,Yes,3,3,Competitive Prices,No problems with Amazon,984496,"['Beauty and Personal Care', 'Clothing and Fashion', 'others']"
2023-06-09 09:31:57+05:30,6,Male,Multiple Times A Week,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen;others,No,Rarely,Not Specified,Multiple Pages,2,No,Sometimes,Changed my mind or no longer need the item,Rarely,Yes,Heavily,Yes,3,Yes,3,4,All The Above,Product quality and accuracy,225976,"['Groceries and Gourmet Food', 'Clothing and Fashion', 'Home and Kitchen', 'others']"
2023-06-12 15:38:48+05:30,20,Others,Less Than Once A Month,Groceries and Gourmet Food;Clothing and Fashion,Yes,Rarely,Filter,First Page,1,Yes,Rarely,others,Often,No,Never,No,2,Yes,4,5,Customer Service,Scrolling option would be much better than going to next page,203062,"['Groceries and Gourmet Food', 'Clothing and Fashion']"
2023-06-05 14:28:10+05:30,66,Prefer Not To Say,Once A Week,Clothing and Fashion;Home and Kitchen;others,Yes,Few Times A Week,Filter,Multiple Pages,1,Maybe,Often,others,Sometimes,No,Occasionally,Yes,4,Yes,4,5,All The Above,I don't have any problem with Amazon,800248,"['Clothing and Fashion', 'Home and Kitchen', 'others']"
2023-06-07 18:29:53+05:30,37,Others,Few Times A Month,Groceries and Gourmet Food;Clothing and Fashion;others,No,Few Times A Month,Not Specified,Multiple Pages,4,No,Rarely,Found a better price elsewhere,Sometimes,Yes,Moderately,Yes,3,Sometimes,3,3,Wide Product Selection,User interface of app,832869,"['Groceries and Gourmet Food', 'Clothing and Fashion', 'others']"
2023-06-06 11:49:21+05:30,59,Prefer Not To Say,Less Than Once A Month,Beauty and Personal Care;Clothing and Fashion,No,Rarely,Categories,Multiple Pages,3,No,Rarely,High shipping costs,Rarely,Yes,Occasionally,Sometimes,1,Sometimes,2,4,Customer Service,I have no problem with Amazon yet. But others tell me about the refund issues,985385,"['Beauty and Personal Care', 'Clothing and Fashion']"
2023-06-11 22:52:47+05:30,62,Male,Once A Month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Yes,Multiple Times A Day,Filter,First Page,1,No,Often,others,Never,No,Heavily,Yes,1,Yes,1,3,Competitive Prices,Add more familiar brands to the list,925814,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen', 'others']"
2023-06-09 08:10:05+05:30,46,Prefer Not To Say,Once A Month,Beauty and Personal Care;Home and Kitchen,No,Rarely,Keyword,Multiple Pages,5,Yes,Never,Found a better price elsewhere,Rarely,Yes,Moderately,Sometimes,3,Yes,4,5,User-Friendly Website/App Interface,Not Specified,510424,"['Beauty and Personal Care', 'Home and Kitchen']"
2023-06-08 17:11:27+05:30,63,Prefer Not To Say,Once A Month,Beauty and Personal Care,Sometimes,Few Times A Week,Filter,Multiple Pages,5,No,Always,Found a better price elsewhere,Often,No,Moderately,Yes,5,Yes,5,1,Customer Service,Irrelevant product suggestions,303719,['Beauty and Personal Care']
2023-06-11 23:02:55+05:30,27,Male,Few Times A Month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,No,Multiple Times A Day,Not Specified,First Page,2,No,Rarely,Found a better price elsewhere,Sometimes,No,Moderately,No,4,No,2,4,Product Recommendations,Product quality and accuracy,339797,"['Groceries and Gourmet Food', 'Clothing and Fashion', 'Home and Kitchen']"
2023-06-06 18:46:21+05:30,37,Prefer Not To Say,Once A Week,Groceries and Gourmet Food;Clothing and Fashion,Sometimes,Multiple Times A Day,Filter,First Page,4,Maybe,Never,High shipping costs,Rarely,No,Never,Yes,3,Sometimes,5,4,Wide Product Selection,I have no problem with Amazon yet. But others tell me about the refund issues,380939,"['Groceries and Gourmet Food', 'Clothing and Fashion']"
2023-06-09 15:10:36+05:30,32,Female,Once A Week,Clothing and Fashion,Sometimes,Few Times A Month,Categories,Multiple Pages,1,Maybe,Always,High shipping costs,Always,Yes,Heavily,Yes,5,Sometimes,3,1,Customer Service,Nothing,744158,['Clothing and Fashion']
2023-06-08 17:23:05+05:30,58,Prefer Not To Say,Few Times A Month,Groceries and Gourmet Food;Beauty and Personal Care,Sometimes,Few Times A Month,Categories,First Page,4,Maybe,Rarely,Found a better price elsewhere,Never,No,Moderately,Sometimes,1,Sometimes,3,2,All The Above,I don't have any problem with Amazon,644781,"['Groceries and Gourmet Food', 'Beauty and Personal Care']"
2023-06-04 19:45:33+05:30,7,Others,Once A Week,Clothing and Fashion;Home and Kitchen;others,Sometimes,Rarely,Categories,Multiple Pages,5,Yes,Rarely,High shipping costs,Always,No,Occasionally,No,1,No,3,1,Product Recommendations,I have no problem with Amazon yet. But others tell me about the refund issues,119216,"['Clothing and Fashion', 'Home and Kitchen', 'others']"
2023-06-08 17:17:10+05:30,37,Female,Few Times A Month,Beauty and Personal Care;Clothing and Fashion,No,Multiple Times A Day,Not Specified,First Page,1,No,Rarely,others,Sometimes,No,Moderately,No,4,Sometimes,5,1,Competitive Prices,Irrelevant product suggestions,565729,"['Beauty and Personal Care', 'Clothing and Fashion']"
2023-06-06 16:46:25+05:30,29,Prefer Not To Say,Once A Month,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,No,Multiple Times A Day,Others,First Page,1,Yes,Never,others,Rarely,No,Moderately,No,1,No,2,1,All The Above,Product quality and accuracy,427641,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen', 'others']"
2023-06-08 17:43:45+05:30,25,Male,Few Times A Month,Clothing and Fashion;others,No,Rarely,Categories,First Page,3,No,Always,High shipping costs,Rarely,No,Rarely,No,3,No,3,3,Wide Product Selection,Scrolling option would be much better than going to next page,297515,"['Clothing and Fashion', 'others']"
2023-06-12 15:27:59+05:30,44,Others,Few Times A Month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Yes,Rarely,Categories,Multiple Pages,4,No,Never,Changed my mind or no longer need the item,Rarely,No,Rarely,Sometimes,4,Sometimes,1,1,Competitive Prices,Shipping speed and reliability,720366,"['Groceries and Gourmet Food', 'Clothing and Fashion', 'Home and Kitchen']"
2023-06-12 16:03:59+05:30,24,Male,Once A Month,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,No,Rarely,Categories,First Page,5,Maybe,Often,others,Rarely,No,Heavily,No,1,Sometimes,2,5,All The Above,Shipping speed and reliability,372403,"['Groceries and Gourmet Food', 'Clothing and Fashion', 'Home and Kitchen']"
